Region1,Region2,Region3,Region4,Region5,Region6,Region7,Region8,Region9,Region10,S08_Rain_Amount,S107_Rain_Amount,S108_Rain_Amount,S78_Rain_Amount,S79_Rain_Amount,S88_Rain_Amount
0.0,0.0,0.0,0.0,0.0,39.61375659620816,1.3166256960976834,0.7703193245926799,0.0,2.408291870421315,0.1,0.0,0.0,0.0,0.1,0.0
5.169759390388799,0.0,2.9909856818080964,0.0,0.0,54.82225483096999,2.702401477812932,4.682648988784918,0.0,8.641517682117092,0.0,0.8,0.1,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.6409852687139693,57.20241007381898,6.523626771153466,3.7071439793703878,0.0,3.2329295779635365,0.6,0.6,0.7,0.4,0.4,0.5
0.30945569089927255,0.0,0.0,0.0,0.0,80.67481474700053,6.708526110501568,0.0,0.0,8.685957635826682,0.0,0.0,0.0,0.0,0.0,0.0
0.0,5.193629367123736,7.24134488872504,6.544734758726963,3.8968650749836424,81.9222236621108,4.171032733702664,11.017645869006941,11.838180591440896,8.192950560071138,0.0,0.0,0.0,0.0,0.0,0.0
6.6596078203317175,12.320840620653245,8.711233535520153,4.909206727370807,2.3729565961200323,61.58831069688754,23.10058341182874,15.597441376781365,12.359878773247743,10.269444105784135,0.0,0.0,0.0,0.0,0.0,0.0
2.741229820214039,8.660533200724457,2.8081709278427516,5.195483814762584,1.8375687984843292,51.518953537508,2.224412715800306,11.796578095591917,5.90306359546485,6.4583057098953605,0.0,0.0,0.0,0.0,0.0,0.0
9.634992884977146,0.0,1.5108101506021319,1.8911387505345507,1.2183368714045903,91.01409960014657,16.382196168898226,4.8387736944986575,18.793896933282674,7.262076040827477,0.0,0.0,0.0,0.0,0.0,0.0
6.571687807380584,0.0,3.8954684352213182,11.516367932646922,0.0,55.89826702057675,0.0,12.15405624011876,2.125220062730503,3.90037862781695,0.0,0.0,0.0,0.0,0.0,0.0
10.975611041865182,8.339907691039143,1.15472841249475,15.13185928439364,2.8185864564499354,76.72863647061067,2.491364768339462,10.199065793370874,10.135951748367418,9.89318114361546,0.0,0.0,0.0,0.0,0.0,0.0
12.126768100937731,10.025604944714116,6.575562569175994,9.60844175433867,2.2564430123475727,67.71266933497547,15.24000381234685,11.131998224157192,12.8941314153298,6.895854642068802,0.0,0.0,0.0,0.0,0.0,0.0
14.18792212344578,8.25362813091889,13.59682865652118,16.274115268879456,0.0,110.13105507710047,17.58653275895462,17.62803699112764,28.046287204186374,16.56388384767534,0.0,0.0,0.0,0.0,0.0,0.0
0.0,15.937561698518415,11.24771429479004,4.539563287747649,1.8488164602225354,106.67559746613733,0.0,13.549996683679073,30.29153352335813,8.594997860536608,0.0,0.0,0.0,0.0,0.0,0.0
11.034131124485155,1.5115341303216854,0.0,5.988453265426737,9.712076845241302,99.61174003107624,0.0,9.690199848229302,16.2228818988631,12.234263705279274,0.0,0.0,0.0,0.0,0.0,0.0
24.122492875974267,53.79869180069632,51.64658005044731,82.99656464642332,17.960569058453792,235.94551946726355,15.150005044306742,83.8882033562614,41.68864738632377,32.855261190563475,1.5,2.8,2.1,2.3,12.2,3.8
10.787785957428067,32.25674777865681,12.855882490696215,12.372881507491462,9.025895868185772,118.71648880731239,37.205149950128714,38.2908704581384,20.387692027903256,12.727546933984273,0.8,1.7,1.5,1.5,0.9,1.0
5.98574736427673,8.335973046885131,9.98016627151258,4.822310072024356,2.091469843283499,79.05858928231343,11.949653661866062,12.254708282572713,16.235470223843308,5.382828128704192,0.0,0.0,0.0,0.0,0.0,0.0
0.6891831978823526,8.687685549618632,5.044274094663436,8.71034401448807,0.0,92.02300369185919,9.643958841585551,16.401169623194388,4.950170553228843,10.50852900930068,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,69.49240510213573,6.301859030362335,9.719394241119865,0.0,0.6348143134959598,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,45.26455359152679,0.660640740207117,3.717523442765025,0.0,1.6561265982065028,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,12.928632658984734,0.0,77.03141110919881,9.748647752183242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,57.61951204175006,7.83222346046767,0.3037274186966755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,47.297772194525,0.0,0.6187023008628781,0.0,1.2709030125648941,0.0,0.0,0.0,0.0,0.0,0.0
8.689623273579675,15.904429830522814,4.415236764417429,3.9637797772117525,0.0,111.37492599153627,16.056700594065106,9.538842882231103,11.588906817353038,8.942238634417722,0.0,0.0,0.0,0.0,0.0,0.0
8.37558557767461,7.468765398513721,1.894261240653226,12.809032971385358,2.960151841311715,77.60389538024262,12.12652917125043,4.8941600911214165,11.234638484547471,4.957380896731737,0.0,0.0,0.0,0.0,0.0,0.0
2.169307474136228,8.643149960328264,5.934573904694118,12.595340021576943,0.0,89.78963425098812,18.03850185213597,2.9307950760970005,0.06359479010168721,6.290810074440547,0.0,0.0,0.0,0.0,0.0,0.0
1.7147067639354943,5.678337838532475,0.0,5.414627327289248,0.0,67.30148773225514,4.099060984457049,0.0,15.222411054398194,6.159745807997175,0.1,0.0,0.0,0.0,0.0,0.0
8.909172801833929,5.543834287389533,6.184565688890704,2.2004812471210293,1.9656022009840288,87.47841463384962,5.798713864762129,9.221443175844314,4.3405132304192415,13.037346806029342,0.0,0.0,0.0,0.0,0.0,0.0
